ADM0_A3,maize_ratio,soybean_ratio,wheat_ratio
KNA,25.20661258,57.54648841,38.52704891
LCA,25.20661258,57.54648841,38.52704891
VCT,25.20661258,57.54648841,38.52704891
WSM,48.48061544,77.69337826,68.36337761
STP,15.3684426,33.02306387,41.82082487
SAU,50.97974743,59.9981385,77.44413408
SEN,17.33413752,33.02306387,41.82082487
SYC,15.3684426,33.02306387,41.82082487
SLE,17.5,17.5,41.82082487
SGP,33.75455131,38.6763255,32.65458092
SVK,47.5,33.02325581,32.53018109
SVN,48.18627451,61,33.54046243
SLB,48.48061544,77.69337826,68.36337761
SOM,17.5,33.02306387,41.82082487
SOL,17.5,33.02306387,32.5
ZAF,17.47113831,47.5,58.10242552
KOR,32.48383621,32.5,32.5
SDS,5.189873418,34.80769231,26.5
ESP,85.35017222,77.5,54.77211934
LKA,17.5,33.45571524,39.9425725
SDN,5.011165699,33.02306387,32.45726496
SUR,17.5,57.54648841,38.52704891
SWE,46.41036451,50.07655073,92.5
CHE,92.24789916,92.13414634,63.31081081
SYR,18.64893617,59.9981385,32.61606314
TWN,77.21910112,62.43589744,47.5
TJK,17.46975806,50.07655073,11.91422594
THA,32.49559342,47.41321762,29.5
BHS,32.5,57.54648841,38.52704891
TGO,17.5,17.5,41.82082487
TON,48.48061544,77.69337826,68.36337761
TTO,25.20661258,57.54648841,38.52704891
TUN,50.97974743,59.9981385,32.32843137
TUR,47.49609477,59.9981385,32.49635085
TKM,17.57712082,62.5,32.34745763
TUV,48.48061544,77.69337826,68.36337761
UGA,17.45713306,32.38047809,17.5
UKR,32.45904747,32.46530073,32.41660571
ARE,50.97974743,59.9981385,92.5
WSB,46.41036451,50.07655073,70
AIA,46.41036451,50.07655073,47.81043884
IOT,46.41036451,50.07655073,47.81043884
CYM,46.41036451,50.07655073,47.81043884
ESB,46.41036451,50.07655073,47.81043884
FLK,46.41036451,50.07655073,47.81043884
GGY,46.41036451,50.07655073,47.81043884
IMN,46.41036451,50.07655073,47.81043884
JEY,46.41036451,50.07655073,47.81043884
MSR,46.41036451,50.07655073,47.81043884
SHN,46.41036451,50.07655073,47.81043884
SGS,46.41036451,50.07655073,47.81043884
TCA,46.41036451,50.07655073,47.81043884
GBR,46.41036451,50.07655073,86.94036697
TZA,17.73428233,17.5,32.5
ASM,49.5841569,62.5,55.0019233
GUM,49.5841569,62.5,55.0019233
MNP,49.5841569,62.5,55.0019233
PRI,17.5,62.5,55.0019233
UMI,49.5841569,62.5,55.0019233
USA,66.89757794,62.5,47.50627497
URY,17.69230769,33.02941176,17.69255456
UZB,17.89426523,50.07655073,32.21655329
VUT,17.5,77.69337826,68.36337761
VEN,33.62833545,57.54648841,38.52704891
VNM,39.02864992,47.44047619,47.5
SAH,15.3684426,33.02306387,41.82082487
YEM,17.5,59.9981385,17.5
ZMB,17.39386022,32.39655172,92.04887218
ZWE,17.47895623,62.5,92.5
SMR,65.69412575,77.51891551,60.87549407
MCO,76.6749733,77.5,79.65507125
VAT,65.69412575,77.51891551,60.87549407
