"ADM0_A3","meat","methane","manure"
"DOM",0.00441027684170617,0.377481338779224,0.148330426852092
"DZA",0.0106861733291615,0.354280835495605,0.162537264872529
"ECU",0.0051010142552412,0.403400865239919,0.154584416896048
"EGY",0.0106858460064663,0.354174662358463,0.162616404535002
"ERI",0.00342045985411588,0.454229914846353,0.125107782153321
"ESP",0.0124011410591991,0.41659272228213,0.13830854329309
"EST",0.011196314634194,0.444053765848532,0.154290920757432
"ETH",0.00499315006323124,0.514308721271279,0.14154287971776
"FIN",0.0126617592552,0.409732161112247,0.133990583591237
"FJI",0.00236994016603632,0.423782633663867,0.148173626339357
"FRA",0.0126187543756366,0.408808072893461,0.132044444899526
"FRO",0.0126617592552,0.409732161112247,0.133990583591237
"FSM",0.00236994016603632,0.423782633663867,0.148183308591425
"GAB",0.00338816778330755,0.421702082544659,0.143556980879042
"GBR",0.0126617592552,0.409732161112247,0.133990583591237
"GEO",0.011038209929771,0.424349530366321,0.134755952441288
"GHA",0.00368106599918365,0.440474443031838,0.125107688356395
"GIN",0.00363752236280344,0.442772789691214,0.125107704028547
"GMB",0.00342045985411588,0.454229914846353,0.125107782153321
"GNB",0.00342045985411588,0.454229914846353,0.125107782153321
"GRC",0.0136331354349407,0.40287327484131,0.134464238520442
"GRD",0.00419117599720159,0.375814123281349,0.148183308591425
"GTM",0.00414481468456454,0.376769025977155,0.148109908923007
"GUY",0.00580649806972172,0.397674903889255,0.154392401095892
"HKG",0.00194815141013613,0.387411589409131,0.148574790125501
"HND",0.00418905189431488,0.375999821859718,0.148175357325969
"HRV",0.0111914201118347,0.406429416939361,0.146854723035774
"HTI",0.00505716501547836,0.372116485538996,0.149097315589492
"HUN",0.0148159564395302,0.418243978696257,0.136426683377376
"IDN",0.00353664271515298,0.452288964491385,0.1419565285055
"IND",0.00290720431830199,0.403128577789289,0.14268411558645
"IRL",0.0126617592552,0.409732161112247,0.133990583591237
"IRN",0.010686538966766,0.354399436778332,0.162448861480329
"IRQ",0.0106858460064663,0.354174662358463,0.162616404535002
"ISL",0.0117655386227057,0.408064929879899,0.218370751665222
"ISR",0.0106858460064663,0.354174662358463,0.162616404535002
"ITA",0.0111117040785869,0.431837515160094,0.142986952747414
"JAM",0.0064566460339034,0.36614092034796,0.150574396034516
"JOR",0.0106858460064663,0.354174662358463,0.162616404535002
"JPN",0.00727997498416765,0.437263297000518,0.19956757178794
"KAZ",0.0132033171586048,0.403066326458934,0.130734581450974
"KEN",0.00534670441546776,0.50530048078832,0.141542888527954
"KGZ",0.0123654081499696,0.411212002170036,0.132217932544989
"KHM",0.0035483459231153,0.45293542074364,0.148574725499584
"KIR",0.00236994016603632,0.423782633663867,0.147391438690134
"KNA",0.00419117599720159,0.375814123281349,0.148183308591425
"KOR",0.00733343103951542,0.436758109313667,0.166735777592349
"KWT",0.0106858460064663,0.354174662358463,0.162616404535002
"LAO",0.00354775838886205,0.452922708218196,0.148620478940424
"LBN",0.0106905031003812,0.355685276434703,0.161490418326638
"LBY",0.0106858429135896,0.354176384526976,0.162615368961813
"LCA",0.00419117599720159,0.375814123281349,0.148183308591425
"LKA",0.000498060308749117,0.403078036444633,0.147382844875451
"LSO",0.00357284346749862,0.432240130719171,0.144248541749826
"LTU",0.011196314634194,0.444053765848532,0.154290920757432
"LVA",0.011196314634194,0.444053765848532,0.154290920757432
"MAC",0.00194815141013613,0.387411589409131,0.148574790125501
"MAR",0.0106889397693925,0.355287198978915,0.161797062776449
"MDA",0.0132726088069029,0.402392712390214,0.130611914381818
"MDG",0.00656587561843524,0.418797762836582,0.144248565085475
"MEX",0.0112354443062931,0.380330627367507,0.161276840430072
"MKD",0.0136179825288815,0.385985848696867,0.130963647487104
"MLI",0.00343216574065007,0.453612047634346,0.125107777940158
"MLT",0.0143405515409269,0.39302250336237,0.130797981160171
"MMR",0.00352713087027539,0.451763553714152,0.141956529698691
"MNE",0.0116512690873068,0.404051219588249,0.141680985347794
"MNG",0.00230766500331056,0.452131220683411,0.167567611488868
"MOZ",0.00663870666846975,0.417003685382481,0.14424856653739
"MRT",0.00342045985411588,0.454229914846353,0.125107782153321
"MUS",0.00630138288266882,0.413967021299974,0.14424856665046
"MWI",0.00675942864130385,0.418101361048835,0.14424856649035
"MYS",0.00354484334443187,0.4527419469631,0.141956527476792
"MYT",NA,NA,NA
"NAM",0.0083098116968187,0.431863230017081,0.144248566088201
"NER",0.00342045985411588,0.454229914846353,0.125107782153321
"NGA",0.0035422693154648,0.447800493882812,0.125107738311864
"NIC",0.00438874605854186,0.374970530002274,0.148391833659136
"NLD",0.0126660541667736,0.40977345018822,0.132035840944081
"NOR",0.0117655386227057,0.408064929879899,0.218370751665222
"NPL",0.00260887121407512,0.419609945459918,0.145524877213473
"NRU",NA,NA,NA
"NZL",0.00746742711375097,0.445367942995898,0.185521611864076
"OMN",0.0106858460064663,0.354174662358463,0.162616404535002
"PAK",0.0058753618259271,0.440839969747356,0.147342629470328
"PAN",0.00407236440005539,0.378261282517243,0.147995204947704
"PER",0.00611465016682809,0.396211484123356,0.154684581957912
"PHL",0.003537579547344,0.452340712783746,0.141956528387982
"PLW",0.00236994016603632,0.423782633663867,0.147866560630908
"PNG",0.00236994016603632,0.423782633663867,0.148084002100415
"POL",0.0126627427340307,0.409735530664881,0.130618028992084
"PRK",0.00215493923533113,0.423065497085978,0.256251758773452
"PRT",0.0112870746375118,0.43277064794913,0.144573673925179
"PSE",NA,NA,NA
"PYF",0.0123626771206114,0.403310396059297,0.132044609416872
"QAT",0.0106858460064663,0.354174662358463,0.162616404535002
"ROU",0.0147526649479077,0.418830638271227,0.130639453906484
"RUS",0.00975088607459318,0.436630891141047,0.136848017359756
"RWA",0.00371613414376423,0.533273831907194,0.141542854110437
"SAU",0.0106858460064663,0.354174662358463,0.162616404535002
"SDN",0.00342281639956092,0.454105530233548,0.125107781305157
"SEN",0.00342045985411588,0.454229914846353,0.125107782153321
"SGP",0.0035483459231153,0.45293542074364,0.141956527037419
"SLB",0.00236994016603632,0.423782633663867,0.148179833300322
"SLE",0.00370951244459598,0.43897296547462,0.125107678117998
"SLV",0.00419117599720159,0.375814123281349,0.148183308591425
"SOM",0.00342045985411588,0.454229914846353,0.125107782153321
"SRB",0.0135452034270342,0.386034126213712,0.132256731667002
"STP",0.00370951244459598,0.43897296547462,0.125107678117998
"SUR",0.00581268776940828,0.397625473667125,0.154391009092864
"SVK",0.0140108522861739,0.415579985391558,0.130781982548206
"SVN",0.0126617592552,0.409732161112247,0.130611907860015
"SWE",0.0126617592552,0.409732161112247,0.133990583591237
"SWZ",0.00630138288266882,0.413967021299974,0.14424856665046
"SYR",0.0106858460064663,0.354174662358463,0.162616404535002
"TCD",0.00342098615614042,0.454202135253271,0.125107781963895
"TGO",0.00369067049795728,0.439967492544777,0.12510768489956
"THA",0.0035483459231153,0.45293542074364,0.141956527037419
"TJK",0.0130526753250013,0.404530780847674,0.131001262828519
"TKM",0.0132726088069029,0.402392712390214,0.130611914381818
"TLS",0.0035483459231153,0.45293542074364,0.148574725499584
"TON",0.00236994016603632,0.423782633663867,0.147961585019063
"TTO",0.00419117599720159,0.375814123281349,0.148183308591425
"TUN",0.0106890034977664,0.355198852742144,0.161852990328221
"TUR",0.00904982432456093,0.410715640307631,0.140904524079101
"TUV",0.00236994016603632,0.423782633663867,0.148183308591425
"TZA",0.00450339836259595,0.530288783848808,0.141542865910305
"UGA",0.00419347235605316,0.537263650953317,0.14154285860935
"UKR",0.0115326246341405,0.419310188415264,0.13369408280183
"URY",0.00368678530016982,0.414602683645357,0.15486910380266
"USA",0.0136529588962158,0.417979583542006,0.175734657616181
"UZB",0.0132726088069029,0.402392712390214,0.130611914381818
"VCT",0.00419117599720159,0.375814123281349,0.148183308591425
"VEN",0.00591961221308413,0.396930426229005,0.154424527014897
"VNM",0.00352829070101597,0.452501484305376,0.150136498983912
"VUT",0.00236994016603632,0.423782633663867,0.148167583515371
"WSM",0.00236994016603632,0.423782633663867,0.148183308591425
"YEM",0.0106858460064663,0.354174662358463,0.162616404535002
"ZAF",0.00776539169193257,0.458552765038791,0.144248576636751
"ZMB",0.00775133387630227,0.426875542647594,0.144248566251382
"ZWE",0.00763431189196957,0.425968797027373,0.144248566202191
