Code,Area,Value,prop
TLS,Timor-Leste,1169,1.76E-05
LBR,Liberia,1142,1.72E-05
MLT,Malta,1117,1.69E-05
BHR,Bahrain,1070,1.62E-05
GAB,Gabon,1054,1.59E-05
TTO,Trinidad and Tobago,938,1.42E-05
MTQ,Martinique,851,1.28E-05
QAT,Qatar,837,1.26E-05
MAC,"China, Macao SAR",806,1.22E-05
CPV,Cabo Verde,777,1.17E-05
SLB,Solomon Islands,771,1.16E-05
MSR,Montserrat,730,1.10E-05
DMA,Dominica,560,8.45E-06
GUF,French Guiana,544,8.21E-06
VIR,United States Virgin Islands,465,7.02E-06
BRN,Brunei Darussalam,440,6.64E-06
LCA,Saint Lucia,432,6.52E-06
TON,Tonga,346,5.22E-06
FSM,Micronesia (Federated States of),240,3.62E-06
VCT,Saint Vincent and the Grenadines,187,2.82E-06
STP,Sao Tome and Principe,173,2.61E-06
ATG,Antigua and Barbuda,150,2.26E-06
BRB,Barbados,145,2.19E-06
GRD,Grenada,140,2.11E-06
VGB,British Virgin Islands,129,1.95E-06
PYF,French Polynesia,127,1.92E-06
FLK,Falkland Islands (Malvinas),126,1.90E-06
FRO,Faroe Islands,93,1.40E-06
GNQ,Equatorial Guinea,47,7.09E-07
KNA,Saint Kitts and Nevis,46,6.94E-07
SGP,Singapore,36,5.43E-07
BMU,Bermuda,29,4.38E-07
ANT,Netherlands Antilles (former),20,3.02E-07
BHS,Bahamas,18,2.72E-07
SYC,Seychelles,10,1.51E-07
GUM,Guam,9,1.36E-07
ASM,American Samoa,4,6.04E-08
COK,Cook Islands,3,4.53E-08
WLF,Wallis and Futuna Islands,3,4.53E-08
NIU,Niue,2,3.02E-08
