"ADM0_A3","barley_area","maize_area","rapeseed_area","rice_area","sorghum_area","soybean_area","wheat_area"
"BLR",0.61667644936643,0.00635390865511432,0.0719080648623162,2.6978778135291e-06,4.42810320159461e-06,4.14297222672074e-05,0.305013021412857
"NAM",0,0.724377020082909,0,2.55042468668575e-05,0.247404957752675,0,0.0281925179175488
"ZAF",0.020455255245392,0.719224503008666,0,0.000311583657190393,0.0261887432777982,0.0263450457573952,0.207474869053559
"MAF",NA,NA,NA,NA,NA,NA,NA
"SXM",NA,NA,NA,NA,NA,NA,NA
"OMN",0,0,0,0,0.701953794720927,0,0.298046205279073
"UZB",0.0640230335034512,0.025644690485325,0.00093860744723994,0.0743926600798372,0.00396513090886851,1.25327299912138e-05,0.831023344845287
"KAZ",0.159815395983184,0.00702729657648096,0.000836654604188633,0.00659484216627205,7.22165215861287e-06,0.000728654414224013,0.824989934603491
"TJK",0.0784433335810324,0.0256265600094187,0.000672626291837242,0.0387950621715896,0.000275498164795552,0.00182416077897007,0.854362759002356
"LTU",0.491530794910454,2.37198012353753e-05,0.0675785980710638,0,0,1.33630816356226e-05,0.440853524135612
"BRA",0.00457384847155674,0.374218428889692,0.000775875902861842,0.0997993601251221,0.0140849998336535,0.451724351079547,0.0548231356975665
"URY",0.19173517674386,0.102572464683319,0,0.291540203424605,0.0489328594419861,0.0426114895835044,0.322607806122725
"MNG",0.0116568733977844,0.000145532448079939,7.07553945250422e-05,0,2.60040744861009e-05,8.58979518234341e-05,0.988014936733301
"RUS",0.301154950998506,0.020214764507024,0.00498875870512954,0.00482627321919917,0.00114954884320232,0.012232426477811,0.655433277249128
"CZE",0.306806345610341,0.029122738951046,0.16860565474615,0,0,0.0011093744141396,0.494355886278323
"DEU",0.330413766645272,0.061452951618038,0.173111499685016,0,3.98117637986398e-06,8.71194683614895e-05,0.434930681406933
"EST",0.62407659794624,7.01872935865313e-05,0.1102707313375,0,0,4.26208568193983e-05,0.265539862565854
"LVA",0.464080142275172,0,0.0309256522768073,0,0,0.000102316374155437,0.504891889073865
"NOR",0.70404563581819,0,0.0327072562466287,0,0,0,0.263247107935181
"SWE",0.481627924287196,0,0.0713728278975049,0,0,0,0.446999247815299
"FIN",0.722851315438735,4.26437434635067e-06,0.0844537834369486,0,0,2.57474626903616e-06,0.192688062003701
"VNM",1.71363368321404e-06,0.0884648572127751,8.0900307270889e-06,0.895323990884073,0,0.0161980968575313,3.25138121049618e-06
"KHM",3.17566848982961e-06,0.0286382587103973,0,0.954652339065836,3.46582976758597e-05,0.0166715682576012,0
"LUX",0.412219505807028,0.013819537900862,0.123079514970197,0,0,0,0.450881441321913
"ARE",0,0,0,0,0,0,1
"BEL",0.159653058335286,0.147815310381975,0.0190539024866568,0,0.000340616203001665,0,0.673137112593081
"GEO",0.101292044223682,0.551361713969319,0,1.41882937848399e-05,0,0.00420241561873074,0.343129637894483
"MKD",0.249332321024049,0.176782663831319,0.00455498167039064,0.0168728827565926,0.000227742629312004,0.000484081303755639,0.551745326784581
"ALB",0.0111029127916753,0.319955647524819,2.18824817782593e-05,7.25446426271409e-05,0,0.00206716092157926,0.666779851637521
"AZE",0.157374125768949,0.0355012749250328,2.29782373547809e-06,0.00506637175172875,8.97212681171808e-05,0.000270163843172399,0.801696044619264
"KOS",0.0566702412869546,0.576372794022464,0.00164115637884167,4.15374899158512e-05,0.000928393190397924,0.0467069441061836,0.317638933525242
"TUR",0.267455978123892,0.0401645231538636,4.29499682627658e-05,0.00426359251316568,1.6063181727619e-06,0.00154905604695982,0.686522293875683
"ESP",0.534360311127535,0.0750549343120727,0.00522653716637932,0.0187867171714114,0.00148551108317171,0.000463686711345675,0.364622302428084
"LAO",9.51487590991999e-06,0.0589213728692739,2.53013643326622e-05,0.933675537275631,9.26178653034126e-05,0.00722667200993283,4.89837396163614e-05
"KGZ",0.117735752212334,0.0920541105148274,0.000385521939242949,0.00987562249257759,9.74693144273475e-05,0.000214824598060039,0.779636698928531
"ARM",0.35227069648894,0.0145589483941275,0,6.53166971540886e-05,0,2.34201630336269e-05,0.633081618256745
"DNK",0.495405038688861,0,0.071209733619755,0,0,0,0.433385227691384
"LBY",0.479153374613498,0.00308837613899418,0,0,0,0,0.517758249247508
"TUN",0.242522683225717,0,0.00370840806231253,0,0.00343824321755538,0,0.750330665494415
"ROU",0.0850708300987334,0.533695243603409,0.00841818174418082,0.000263869581189785,0.000718031767189334,0.0168294784425017,0.355004364762796
"HUN",0.129996551968056,0.420535576681376,0.0390344751543089,0.000930106400905532,0.00153879855635126,0.00885936358060856,0.399105127658393
"SVK",0.268901263255599,0.159340203186849,0.107793375709805,0,0.00010548788368068,0.0071782939443261,0.45668137601974
"POL",0.259917562029519,0.0428967761796195,0.102049235801747,4.82886054005973e-07,1.70300070241511e-06,1.71501984263321e-05,0.595117089903932
"IRL",0.673365760887583,0,0.0115515220500862,0,0,0,0.315082717062331
"GBR",0.334532852022383,0,0.132571384793778,0,0,0,0.532895763183839
"GRC",0.0998359625974196,0.178678469228431,2.92625965167072e-06,0.0197316384130956,0.000825463979611103,0.00165180344902816,0.699273736072763
"ZMB",0.00377087513890245,0.884474779147596,0,0.0187333511350662,0.0553485735702584,0.0196939671490301,0.0179784538591468
"SLE",0,0.0415216979647355,0,0.890868031929881,0.0676102701053833,0,0
"GIN",0,0.139834155841049,0,0.849110653959978,0.0109817290223989,7.34611765741118e-05,0
"LBR",0,0.000587191458474658,0,0.95408297727211,0.000124565873002199,0.0452052653964135,0
"CAF",0,0.621483768007198,0,0.0857995552850233,0.292632190330162,6.79739549405895e-05,1.65124226763592e-05
"SDN",9.56645141458587e-07,0.0101015856074547,0,0.000750026691874154,0.967550112952476,0,0.0215973181030537
"DJI",0,1,0,0,0,0,0
"ERI",0.132061443812769,0.0723178578403889,0,1.32469478739235e-05,0.708489571007197,1.81684220569514e-05,0.0870997119697147
"AUT",0.30624121478273,0.239700087023323,0.0709728489248206,0,1.32474737775585e-05,0.0215679639895032,0.361504637805846
"IRQ",0.224366584051759,0.227497904137456,0,0.227209892314623,2.47659998434489e-05,2.07276604099272e-05,0.320880125835908
"ITA",0.0793890807708768,0.291865292516886,0.00852486155914683,0.0616693921205187,0.00818424102845632,0.067111822046848,0.483255309957267
"CHE",0.256056941086197,0.120297624647858,0.0828912051755385,1.23400257257789e-05,3.67965706753104e-05,0.0103477202121249,0.53035737228188
"IRN",0.190780895817833,0.0222395713479081,0,0.0664772958616152,0,0.0101095195553095,0.710392717417334
"NLD",0.248686260266144,0.104454362595529,0.00523503598308572,0,0,0,0.641624341155242
"LIE",NA,NA,NA,NA,NA,NA,NA
"CIV",0,0.5809352377853,0,0.371359843002535,0.0457906762930481,0.00191424291911643,0
"SRB",0.0567100479887399,0.57652808494939,0.00163953124288666,6.12918525141609e-07,0.000927976609844492,0.0465492859451827,0.317644460345431
"MLI",1.3926116978481e-06,0.16869057252993,0,0.292396546168773,0.53779185382049,3.1868904121724e-06,0.00111644797869827
"SEN",3.82313311423822e-06,0.245880381166517,0,0.232458782296613,0.521653006566458,0,4.00683729883955e-06
"NGA",0,0.305819198057474,0,0.175437563256765,0.471743939258243,0.0441720611349996,0.00282723829251893
"BEN",0,0.707479453441024,0,0.0328172214381455,0.255704610820868,0.00399871429996177,0
"AGO",0,0.989912564915276,0,0.00648721987695185,3.24679739779091e-05,0,0.00356774723379383
"HRV",0.0647666706720505,0.551640390683746,0.0164757837307976,0,0.00017602281859262,0.0574676995399983,0.309473432554815
"SVN",0.125172935011826,0.490228974149405,0.000180494576698439,0,2.93187510042482e-05,0.00120091411485101,0.383187363396215
"QAT",NA,NA,NA,NA,NA,NA,NA
"SAU",0.0644331677052385,0.00866704470177556,0,0,0.165858229970845,0,0.761041557622141
"BWA",0.000149501070429518,0.436570419801521,0,0,0.559965381751496,0.000285270665989467,0.00302942671056407
"ZWE",0.00427474666227018,0.80736249908334,0,0.00015252751037069,0.11177532813836,0.0435971615661247,0.0328377370395342
"BGR",0.156891028114808,0.228459672000071,0.00563302975243326,0.00197775619402145,0.00226383945919303,0.00251839160634368,0.60225628287313
"THA",0.000678782386557847,0.105240487525259,0,0.86888570387079,0.00740802832595929,0.0176741181152944,0.000112879776139649
"SMR",0.0834001727413964,0.187893779174593,0,0.020319853126807,0.00678489059727812,0.0930364695671901,0.608564834792736
"HTI",0,0.593488914207939,0,0.119057480174011,0.28745360561805,0,0
"DOM",0,0.172748483597472,0,0.793833089700162,0.033418426702366,0,0
"TCD",0,0.154800157021123,0,0.045263731769977,0.796908551447956,2.17006797944666e-05,0.00300585908114998
"KWT",0.828719517969145,0.0179084940194734,0,0,0,0,0.153371988011381
"SLV",3.97302882585664e-06,0.718734410900801,0,0.0225876320034762,0.255955137739782,0.00269093898293442,2.79073441807744e-05
"GTM",0.0022100881490891,0.887983951295505,0,0.0210941704752724,0.0625182566366088,0.0174062098922983,0.00878732355122593
"TLS",0,0.75754308595156,0,0.229074156214915,0,0.0133827578335255,0
"BRN",0,0.0126982247405962,0,0.987301775259404,0,0,0
"MCO",NA,NA,NA,NA,NA,NA,NA
"DZA",0.225030805710019,0.000110709701049915,0.00785770436112162,0.000101895398341697,4.41143037037103e-05,0,0.766854770525764
"MOZ",6.95486064497626e-06,0.667974301368409,0,0.0539699105764138,0.276700208017299,0.000196765609577219,0.00115185956765592
"SWZ",0,0.981648199788828,0,0.000624159546078716,0.0143784553176618,0.000445050765071636,0.00290413458235971
"BDI",1.47752195720052e-05,0.582489565828799,0,0.0850298170913105,0.273740272301574,0.00546788373574244,0.0532576858230027
"RWA",6.31228966714592e-06,0.297838293057368,0,0.0152469429359081,0.563117410997759,0.0926205173218507,0.0311705233974474
"MMR",1.4922493034893e-06,0.0339838113616301,2.88168477273797e-05,0.936441699113724,1.78101436469785e-05,0.015741851261327,0.0137845190226409
"BGD",0.000562757070206598,0.000289100999104516,0.0277659974784071,0.903977300755684,6.46377029847935e-05,9.69820371109955e-07,0.0673392361732419
"AND",NA,NA,NA,NA,NA,NA,NA
"AFG",0.0521802017767142,0.0403668238373564,1.04243462128253e-05,0.0546337329759674,1.88633391759905e-06,1.77575997469339e-05,0.852789173130085
"MNE",0.0564066436943751,0.5781852685311,0.00164669095862397,0,0.000915175097354407,0.0462322905775019,0.316613931141045
"BIH",0.0691879344139069,0.626874742416938,0.00272401347913,0,8.16318443183484e-06,0.0114061720563409,0.289798974449253
"UGA",1.6518766527664e-06,0.556581884440368,0,0.0707311314854319,0.261367294575172,0.105478561269452,0.00583947635292349
"USG",NA,NA,NA,NA,NA,NA,NA
"CUB",0,0.402406692038121,0,0.595856733496859,0.00173657446502053,0,0
"HND",0,0.822483261985199,0,0.0158975198556305,0.153871127957865,0.00340998729817628,0.00433810290312842
"ECU",0.050079540388365,0.50630612938929,0,0.366268084373414,0.00439871754294914,0.0455170467278634,0.0274304815781189
"COL",0.00495967363448948,0.472282204359341,0,0.413669143293076,0.0658313225696902,0.0257235878839778,0.0175340682594258
"PRY",0.000120746089031069,0.205868510345252,0,0.0163299074406597,0.0131104078009492,0.659521242945539,0.105049185378569
"PRT",0.0460851122930315,0.380030109510138,0,0.062172148768286,0,0,0.511712629428545
"MDA",0.11076786051791,0.479639767265929,0.000128918486723243,2.45524960271866e-05,0.000871409402096506,0.0114057482312834,0.397161743600031
"TKM",0.0755121108556343,0.0177435433039088,0,0.0505844038480802,0,0,0.856159941992377
"JOR",0.486047666766535,0.0277006001749336,0,0,0.0034521734009028,0,0.482799559657628
"NPL",0.0097389369043188,0.261987332900765,0.000421209885224426,0.504796276625768,8.94982127033105e-07,0.0069309217354936,0.216124426966302
"LSO",0.00583442766886135,0.722068576209788,0,7.5817759696848e-06,0.15543952029623,0.000640566421270218,0.116009327627881
"CMR",0,0.42654468394606,0,0.0245542423233081,0.536265651936717,0.0122841355438877,0.000351286250027077
"GAB",0,0.872532531834875,0,0.0222794469818311,0,0.105188021183294,0
"NER",0,0.00314964665751764,0,0.00843969590051777,0.986994935343155,2.61881511974452e-05,0.00138953394761225
"BFA",0,0.164909027150199,0,0.0262270467723676,0.806585608829492,0.00227831724794138,0
"TGO",0,0.626594266522119,0,0.0581063740531355,0.315292015684496,7.34374025009768e-06,0
"GHA",0,0.661794741255281,0,0.105400802709329,0.232800775363222,3.68067216744456e-06,0
"GNB",0,0.199852859489365,0,0.618518275511777,0.181628864998858,0,0
"GIB",NA,NA,NA,NA,NA,NA,NA
"USA",0.02353917960628,0.331706205712754,0.00538376288401902,0.0147966736582368,0.0375704067767958,0.333662626354871,0.253341145007043
"CAN",0.195486322004287,0.0537176595433512,0.216711395929611,0,0,0.047458013154209,0.486626609368542
"MEX",0.0273427399617258,0.710971292563207,0.000614192437048342,0.00740420777023435,0.183284531990491,0.00785230462215577,0.0625307306551378
"BLZ",0,0.646824186864365,0,0.213883512923657,0.115766676194266,0.0235256240177118,0
"PAN",0,0.370409732112626,0,0.617447368760352,0.0112766632316699,0.000866235895352812,0
"VEN",0,0.539471006177082,0,0.17972546359853,0.277338762547395,0.00209155279693303,0.00137321488005979
"PNG",0,0.457885664665887,0,0.136142247758519,0.405972087575594,0,0
"EGY",0.0136397921247163,0.308710086067818,0,0.235891933671718,0.0599041678482239,0.00332783716035784,0.378526183127166
"YEM",0.0797324575222028,0.0663891568314861,0,0,0.673276267913044,0,0.180602117733267
"MRT",0.00237287937408783,0.060712911046445,0,0.114171069033527,0.820247199529969,0,0.00249594101597132
"GNQ",NA,NA,NA,NA,NA,NA,NA
"GMB",0,0.317392946147997,0,0.289499529545648,0.393107524306355,0,0
"HKG",NA,NA,NA,NA,NA,NA,NA
"VAT",NA,NA,NA,NA,NA,NA,NA
"CYN",NA,NA,NA,NA,NA,NA,NA
"CNM",NA,NA,NA,NA,NA,NA,NA
"KAS",NA,NA,NA,NA,NA,NA,NA
"KAB",NA,NA,NA,NA,NA,NA,NA
"WSB",NA,NA,NA,NA,NA,NA,NA
"ATA",NA,NA,NA,NA,NA,NA,NA
"AUS",0.201151297717721,0.00392060427405545,0.0749681450293481,0.00785604255685098,0.037011645064201,0.00204432552369524,0.673047939834128
"GRL",NA,NA,NA,NA,NA,NA,NA
"FJI",NA,NA,NA,NA,NA,NA,NA
"NZL",0.488459589315688,0.128478237414576,0.0160696102588474,0,0,0,0.366992563010889
"NCL",NA,NA,NA,NA,NA,NA,NA
"MDG",0,0.105499328931451,0,0.889542217421259,0.00169546260469036,4.24084339581659e-05,0.00322058260864182
"PHL",0,0.391181925459562,0,0.608682539125064,0,0.00013553541537392,0
"LKA",0,0.0326737807108515,0,0.965885983803024,0.000215065500292764,0.00122516998583189,0
"CUW",NA,NA,NA,NA,NA,NA,NA
"ABW",NA,NA,NA,NA,NA,NA,NA
"BHS",NA,NA,NA,NA,NA,NA,NA
"TCA",NA,NA,NA,NA,NA,NA,NA
"TWN",0,0.106368584843019,4.074624713358e-05,0.879146115450254,0.0139609861670617,0.00044468828519207,3.88790073391964e-05
"JPN",0.0275066746109891,3.7164435676009e-05,0.000204940279985015,0.82586203440516,0,0.058347341706535,0.0880418445616553
"SPM",NA,NA,NA,NA,NA,NA,NA
"ISL",NA,NA,NA,NA,NA,NA,NA
"PCN",NA,NA,NA,NA,NA,NA,NA
"PYF",NA,NA,NA,NA,NA,NA,NA
"ATF",NA,NA,NA,NA,NA,NA,NA
"SYC",NA,NA,NA,NA,NA,NA,NA
"KIR",NA,NA,NA,NA,NA,NA,NA
"MHL",NA,NA,NA,NA,NA,NA,NA
"TTO",0,0.371187291354364,0,0.628812708645636,0,0,0
"GRD",NA,NA,NA,NA,NA,NA,NA
"VCT",NA,NA,NA,NA,NA,NA,NA
"BRB",NA,NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA,NA
"DMA",NA,NA,NA,NA,NA,NA,NA
"UMI",NA,NA,NA,NA,NA,NA,NA
"MSR",NA,NA,NA,NA,NA,NA,NA
"ATG",NA,NA,NA,NA,NA,NA,NA
"KNA",NA,NA,NA,NA,NA,NA,NA
"VIR",NA,NA,NA,NA,NA,NA,NA
"BLM",NA,NA,NA,NA,NA,NA,NA
"PRI",0,1,0,0,0,0,0
"AIA",NA,NA,NA,NA,NA,NA,NA
"VGB",NA,NA,NA,NA,NA,NA,NA
"JAM",0,0.989958581224946,0,0.0100414187750543,0,0,0
"CYM",NA,NA,NA,NA,NA,NA,NA
"BMU",NA,NA,NA,NA,NA,NA,NA
"HMD",NA,NA,NA,NA,NA,NA,NA
"SHN",NA,NA,NA,NA,NA,NA,NA
"MUS",NA,NA,NA,NA,NA,NA,NA
"COM",NA,NA,NA,NA,NA,NA,NA
"STP",NA,NA,NA,NA,NA,NA,NA
"CPV",NA,NA,NA,NA,NA,NA,NA
"MLT",NA,NA,NA,NA,NA,NA,NA
"JEY",NA,NA,NA,NA,NA,NA,NA
"GGY",NA,NA,NA,NA,NA,NA,NA
"IMN",NA,NA,NA,NA,NA,NA,NA
"ALD",NA,NA,NA,NA,NA,NA,NA
"FRO",NA,NA,NA,NA,NA,NA,NA
"IOA",NA,NA,NA,NA,NA,NA,NA
"IOT",NA,NA,NA,NA,NA,NA,NA
"SGP",NA,NA,NA,NA,NA,NA,NA
"NFK",NA,NA,NA,NA,NA,NA,NA
"COK",NA,NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA
"WLF",NA,NA,NA,NA,NA,NA,NA
"WSM",NA,NA,NA,NA,NA,NA,NA
"SLB",NA,NA,NA,NA,NA,NA,NA
"TUV",NA,NA,NA,NA,NA,NA,NA
"MDV",NA,NA,NA,NA,NA,NA,NA
"NRU",NA,NA,NA,NA,NA,NA,NA
"FSM",NA,NA,NA,NA,NA,NA,NA
"SGS",NA,NA,NA,NA,NA,NA,NA
"FLK",NA,NA,NA,NA,NA,NA,NA
"VUT",NA,NA,NA,NA,NA,NA,NA
"NIU",NA,NA,NA,NA,NA,NA,NA
"ASM",NA,NA,NA,NA,NA,NA,NA
"PLW",NA,NA,NA,NA,NA,NA,NA
"GUM",NA,NA,NA,NA,NA,NA,NA
"MNP",NA,NA,NA,NA,NA,NA,NA
"BHR",NA,NA,NA,NA,NA,NA,NA
"CSI",NA,NA,NA,NA,NA,NA,NA
"PGA",NA,NA,NA,NA,NA,NA,NA
"CLP",NA,NA,NA,NA,NA,NA,NA
"MAC",NA,NA,NA,NA,NA,NA,NA
"ATC",NA,NA,NA,NA,NA,NA,NA
"BJN",NA,NA,NA,NA,NA,NA,NA
"SER",NA,NA,NA,NA,NA,NA,NA
"SCR",NA,NA,NA,NA,NA,NA,NA
